text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_source_path,source_path
written_1_journal_slate_49_ArticleIP_18460,1167,1719,0.012853470437017995,0.22629435718440954,0.3216986620127981,0.3798720186154741,0.2891215823152996,3.0736088070540424,3.177520123485013,0.47472150814053127,4.745501285347044,24.3125,False,0.044558697514995714,1.598114824335904,12.74962992716367,written_1_journal_slate_49_ArticleIP_18460,journal,written_1/journal/slate/49/ArticleIP_18460.txt,oanc_texts/written_1_journal_slate_49_ArticleIP_18460.txt
written_1_journal_slate_21_Article247_4437,1308,1881,0.0030581039755351682,0.21584263689526847,0.30515683147262096,0.3742690058479532,0.26209463051568316,3.1221562966184933,3.2478912491084335,0.3562691131498471,4.548929663608563,19.52238805970149,False,0.03746177370030581,1.511467889908257,9.859052444201016,written_1_journal_slate_21_Article247_4437,journal,written_1/journal/slate/21/Article247_4437.txt,oanc_texts/written_1_journal_slate_21_Article247_4437.txt
spoken_telephone_switchboard_38_sw3803-ms98-a-trans,1001,1213,0.003996003996003996,0.179719703215169,0.2201154163231657,0.2662819455894477,0.2868920032976092,3.049631988772416,3.2783056596027222,0.2787212787212787,3.769230769230769,1001.0,False,0.014985014985014986,1.2637362637362637,389.71208791208795,spoken_telephone_switchboard_38_sw3803-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/38/sw3803-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_38_sw3803-ms98-a-trans.txt
spoken_telephone_switchboard_48_sw4876-ms98-a-trans,1027,1283,0.0019474196689386564,0.2049883086515978,0.24395946999220577,0.2954014029618083,0.2985190958690569,3.0997967759522496,3.247028229481068,0.2872444011684518,3.9629990262901655,1027.0,False,0.024342745861733205,1.3252190847127556,400.57758519961055,spoken_telephone_switchboard_48_sw4876-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/48/sw4876-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_48_sw4876-ms98-a-trans.txt
written_1_journal_slate_51_ArticleIP_35836,1507,2237,0.0019907100199071004,0.23156012516763522,0.31649530621367905,0.372820742065266,0.28430934286991505,3.115054976110931,3.240623023966623,0.34306569343065696,4.8321167883211675,17.32183908045977,False,0.062375580623755804,1.6164565361645653,10.239704368121185,written_1_journal_slate_51_ArticleIP_35836,journal,written_1/journal/slate/51/ArticleIP_35836.txt,oanc_texts/written_1_journal_slate_51_ArticleIP_35836.txt
written_1_journal_slate_52_ArticleIP_44160,1116,1709,0.014336917562724014,0.2422469280280866,0.342305441778818,0.42715038033937974,0.3042715038033938,3.020295245510878,3.128072339954803,0.48118279569892475,4.851254480286738,26.571428571428573,False,0.044802867383512544,1.656810035842294,14.323215565796215,written_1_journal_slate_52_ArticleIP_44160,journal,written_1/journal/slate/52/ArticleIP_44160.txt,oanc_texts/written_1_journal_slate_52_ArticleIP_44160.txt
written_1_journal_slate_48_ArticleIP_5433,1229,1878,0.005695687550854353,0.21405750798722045,0.3035143769968051,0.3759318423855165,0.28115015974440893,3.0681551654765324,3.2185156739847947,0.45728234336859236,4.911310008136697,21.189655172413794,False,0.06753458096013018,1.6371033360455656,11.991784882579058,written_1_journal_slate_48_ArticleIP_5433,journal,written_1/journal/slate/48/ArticleIP_5433.txt,oanc_texts/written_1_journal_slate_48_ArticleIP_5433.txt
spoken_telephone_switchboard_26_sw2645-ms98-a-trans,1314,1628,0.00380517503805175,0.14987714987714987,0.2106879606879607,0.2665847665847666,0.23771498771498772,3.2456623997822813,3.376113988890672,0.2853881278538813,3.8272450532724505,1314.0,False,0.01598173515981735,1.299847792998478,512.208203957382,spoken_telephone_switchboard_26_sw2645-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/26/sw2645-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_26_sw2645-ms98-a-trans.txt
spoken_telephone_switchboard_39_sw3935-ms98-a-trans,1028,1248,0.0038910505836575876,0.18028846153846154,0.2203525641025641,0.2604166666666667,0.266025641025641,3.085370806344658,3.263319198901058,0.28793774319066145,3.7607003891050583,1028.0,False,0.011673151750972763,1.2636186770428015,400.2407003891051,spoken_telephone_switchboard_39_sw3935-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/39/sw3935-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_39_sw3935-ms98-a-trans.txt
written_1_journal_slate_34_ArticleIP_2260,1127,1763,0.01064773735581189,0.25297787861599547,0.3579126488939308,0.4186046511627907,0.3204764605785593,2.9306680182542637,3.0660056126834947,0.4676131322094055,4.960958296362023,20.490909090909092,False,0.06743566992014197,1.6645962732919255,12.043690570299265,written_1_journal_slate_34_ArticleIP_2260,journal,written_1/journal/slate/34/ArticleIP_2260.txt,oanc_texts/written_1_journal_slate_34_ArticleIP_2260.txt
