text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_telephone_switchboard_22_sw2220-ms98-a-trans,1945,2353,0.14662133446663833,1,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2221-ms98-a-trans,2043,2492,0.16292134831460675,1,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2222-ms98-a-trans,1031,1200,0.125,3,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2223-ms98-a-trans,1149,1356,0.16224188790560473,2,2,0.5,spoken_phone
spoken_telephone_switchboard_22_sw2224-ms98-a-trans,2535,2961,0.14319486659912192,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2226-ms98-a-trans,1494,1721,0.11563044741429401,2,2,0.5,spoken_phone
spoken_telephone_switchboard_22_sw2227-ms98-a-trans,1436,1691,0.11768184506209343,4,1,0.8,spoken_phone
spoken_telephone_switchboard_22_sw2228-ms98-a-trans,1790,2226,0.1707097933513028,4,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2229-ms98-a-trans,1572,1891,0.11686938127974617,7,1,0.875,spoken_phone
spoken_telephone_switchboard_22_sw2230-ms98-a-trans,1926,2425,0.1892783505154639,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2231-ms98-a-trans,1429,1723,0.1758560650029019,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2232-ms98-a-trans,2070,2559,0.18132082844861275,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_22_sw2233-ms98-a-trans,1896,2357,0.14722104369961816,1,1,0.5,spoken_phone
spoken_telephone_switchboard_22_sw2234-ms98-a-trans,1597,1921,0.14627798021863614,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2235-ms98-a-trans,1956,2357,0.14679677556215528,3,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2236-ms98-a-trans,1546,1917,0.17318727177882107,2,4,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_22_sw2237-ms98-a-trans,2112,2455,0.1389002036659878,2,2,0.5,spoken_phone
spoken_telephone_switchboard_22_sw2238-ms98-a-trans,2192,2635,0.14079696394686908,2,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2240-ms98-a-trans,2119,2432,0.15090460526315788,0,1,0.0,spoken_phone
