text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_title,meta_author,meta_subjects,source_path
PG45507,39165,47268,0.009370611515383633,0.1705805195904206,0.23510620292798512,0.28334179571803336,0.2418972666497419,3.3451063549750906,3.386054292656652,0.09699987233499298,4.10662581386442,20.0,True,0.012945231711987745,1.3048129707647134,7.606793055023619,PG45507,children,"The Pony Rider Boys in Louisiana; or, Following the Game Trails in the Canebrake","Patchin, Frank Gee","{'Horsemanship -- Juvenile fiction', 'Louisiana -- Juvenile fiction'}",spgc_texts/PG45507.txt
PG23011,4143,4977,0.025585324643977794,0.18665862969660438,0.25236085995579666,0.2951577255374724,0.25738396624472576,3.2821118986176883,3.3396721392357507,0.2626116340815834,4.163890900313782,20.0,True,0.021240646874245716,1.3275404296403572,7.874977069756216,PG23011,fiction,Eatin' Crow; and The Best Man In Garotte,"Harris, Frank","{'Short stories', 'Fiction'}",spgc_texts/PG23011.txt
PG40436,34599,47418,0.061244544640018495,0.25214053734868613,0.331625121261968,0.38734235944156226,0.32557256737947615,3.080992335126485,3.122126053267989,0.11662186768403711,4.780542790254054,20.0,True,0.047342408740136996,1.61510448278852,11.268232896904536,PG40436,philosophy,"Plato and the Other Companions of Sokrates, 3rd ed. Volume 2","Grote, George","{'Plato', 'Philosophy, Ancient', 'Socrates, 470 BC-399 BC'}",spgc_texts/PG40436.txt
PG159,38252,47685,0.015763881627104466,0.20914333647897662,0.28168187060920624,0.3275243787354514,0.2882877215057146,3.2107184389141246,3.241780697553286,0.12506535605981386,4.2285109275332005,20.0,True,0.02287462093485308,1.36387639861968,8.303741503712224,PG159,science,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)","{'Islands -- Fiction', 'Shipwreck survival -- Fiction', 'Animal experimentation -- Fiction', 'Science fiction'}",spgc_texts/PG159.txt
PG2058,21054,24456,0.018951268167569108,0.21622505724566568,0.26840039254170756,0.31006705920837424,0.2899492966961073,3.2409933225775136,3.29053001657347,0.1506127101738387,3.942053766505177,20.0,True,0.011209271397359171,1.2681675691080079,7.174377315474494,PG2058,biography,Messer Marco Polo,"Byrne, Donn","{'Polo, Marco, 1254-1323? -- Fiction', 'Biographical fiction'}",spgc_texts/PG2058.txt
PG27531,35187,51202,0.011453093472020916,0.2588375454083825,0.3442248349673841,0.4076012655755635,0.33262372563571735,3.039490618413287,3.0737886254652698,0.1284565322420212,4.683945775428425,20.0,True,0.07264046380765624,1.5825446898002102,10.884027339642483,PG27531,philosophy,A Manual of Moral Philosophy,"Peabody, Andrew P. (Andrew Preston)",{'Ethics'},spgc_texts/PG27531.txt
PG41742,34363,48618,0.016209294881122136,0.2773047019622362,0.35299683244888724,0.4140030441400304,0.34507795466699576,3.0496420324580487,3.0882974260747207,0.1483863457788901,4.820242702907197,20.0,True,0.04015947385269039,1.56243634141373,10.646748828682014,PG41742,travel,"America, Volume 2 (of 6)","Cook, Joel","{'Canada -- Description and travel', 'United States -- Description and travel'}",spgc_texts/PG41742.txt
PG12282,35526,49527,0.016354219444913585,0.26474448280735763,0.34756799321582166,0.4023663860116704,0.3462555777656632,3.024496283019716,3.0551707439099256,0.14220570849518663,4.629679671226707,20.0,True,0.06440353543883354,1.5382818217643417,10.361725496819233,PG12282,religion,The Right and Wrong Uses of the Bible,"Newton, Richard Heber","{'Sermons, American', 'Bible -- Study and teaching'}",spgc_texts/PG12282.txt
PG14781,10988,13113,0.019111758281761922,0.2230610844200412,0.28528940745824755,0.3413406543125143,0.3165560893769542,3.1615241608926836,3.204336086779694,0.16609028030578812,4.225518747724791,20.0,True,0.021204950855478705,1.3147979614124499,7.724615944666912,PG14781,religion,The Elene of Cynewulf translated into English prose,Cynewulf,"{'Christian women saints -- Rome -- Legends', 'Helena, Saint, approximately 255-approximately 330 -- Legends'}",spgc_texts/PG14781.txt
PG10441,37509,47857,0.014876429656882349,0.19165430344568193,0.2685291597885367,0.3187830411434064,0.2541321018868713,3.2625449007937948,3.292602420076626,0.13660721426857556,4.332080300727825,20.0,True,0.025220613719374018,1.4090751552960623,8.837086832493537,PG10441,fiction,The Green Mouse,"Chambers, Robert W. (Robert William)","{'New York (N.Y.) -- Fiction', 'Fantasy fiction', 'Magic -- Fiction', 'Courtship -- Fiction'}",spgc_texts/PG10441.txt
PG16155,26336,35308,0.07495443499392467,0.2926532230655942,0.37090744307239154,0.4297892828820664,0.3702843548204373,2.948416612941761,2.9831204490078895,0.19441069258809235,4.853812272174969,20.0,True,0.05532351154313487,1.6564018833535845,11.755542223572299,PG16155,biography,Gilbertus Anglicus: Medicine of the Thirteenth Century,"Handerson, Henry E. (Henry Ebenezer)","{'Physicians -- Biography', 'Medicine, Medieval', 'Gilbertus, Anglicus'}",spgc_texts/PG16155.txt
PG24679,19302,22063,0.03932235001554243,0.17604133617368445,0.23505416307845714,0.2704074695191044,0.23750169967819426,3.3362332356405098,3.3619436717812587,0.19873588229199046,4.396435602528236,20.0,True,0.014661693088799088,1.3004869961662004,7.555746554761168,PG24679,poetry,Lilith: The Legend of the First Woman,"Collier, Ada Langworthy","{'American poetry', 'Lilith (Semitic mythology) -- Poetry'}",spgc_texts/PG24679.txt
PG31919,25174,28109,0.04584094700881862,0.20502330214522038,0.2671386388701128,0.30744601373225655,0.28464192963107904,3.239094367165938,3.2673567986969454,0.19031540478271233,4.320489393819019,20.0,True,0.013784062922062445,1.277349646460634,7.282725828235481,PG31919,poetry,Blooms of the Berry,"Cawein, Madison Julius",{'American poetry -- 19th century'},spgc_texts/PG31919.txt
PG2289,27506,33519,0.030247945902712136,0.16939646170828485,0.23485187505593844,0.2735165130224649,0.23428503236970077,3.299479106175587,3.3530028400698084,0.09863302552170436,4.091725441721806,20.0,True,0.016541845415545698,1.350214498654839,8.142531084127103,PG2289,drama,Rosmersholm,"Ibsen, Henrik","{'Norwegian drama -- Translations into English', 'Suicide -- Drama', 'Europe -- Social conditions -- 19th century -- Drama'}",spgc_texts/PG2289.txt
PG15649,10378,13006,0.07275004817883986,0.25811164078117793,0.3253113947408888,0.3726741503921267,0.3472243579886206,3.029945677997269,3.06548256107576,0.18683754095201388,4.5885527076508,20.0,True,0.03738677972634419,1.5166698785893236,10.106704567354019,PG15649,philosophy,"A Philosophicall Essay for the Reunion of the Languages: Or, The Art of Knowing All by the Mastery of One","Besnier, Pierre",{'Language and languages -- Philosophy -- Early works to 1800'},spgc_texts/PG15649.txt
PG10628,36323,42816,0.016766236269030642,0.15958987294469357,0.22617713004484305,0.27436005231689087,0.23238976083707025,3.342375485626368,3.3778319576769946,0.11331663133551743,4.0339179032568895,20.0,True,0.012664152190072405,1.2924868540594114,7.461344877901059,PG10628,fiction,Andrew Golding: A Tale of the Great Plague,"Keeling, Annie E.",{'Plague -- England -- London -- Fiction'},spgc_texts/PG10628.txt
PG39713,34687,52045,0.015221841035546458,0.26179267941204726,0.3419925064847728,0.4053799596503026,0.34089730041310407,2.9976558001124705,3.0384415187078133,0.10145011099259088,4.765877706345317,20.0,True,0.07155418456482256,1.6315622567532504,11.462434629688357,PG39713,philosophy,"The Foundations of Science: Science and Hypothesis, The Value of Science, Science and Method","Poincaré, Henri","{'Science -- Methodology', 'Mathematics -- Philosophy', 'Science -- Philosophy'}",spgc_texts/PG39713.txt
PG40675,40128,47084,0.01440390749601276,0.17201172372780563,0.2301206354600289,0.2679041712683714,0.23774530626115029,3.32190252818445,3.356289190583294,0.09110845295055821,3.984075956937799,20.0,True,0.017294657097288675,1.2942085326953747,7.481660685805423,PG40675,fiction,Nurse Elisia,"Fenn, George Manville",{'Nurses -- Fiction'},spgc_texts/PG40675.txt
PG22843,6838,8563,0.02676221117285756,0.2217680719374051,0.29393904005605515,0.3459068083615555,0.2988438631320799,3.177017479000014,3.2231517932514353,0.2869260017548991,4.4172272594325825,20.0,True,0.026615969581749048,1.4249780637613336,9.02474115238374,PG22843,fiction,Aunt Deborah,"Mitford, Mary Russell","{'Inheritance and succession -- Fiction', 'Short stories'}",spgc_texts/PG22843.txt
PG46978,40369,48500,0.01535831950258862,0.1598556701030928,0.22562886597938145,0.26764948453608245,0.22894845360824742,3.3308708718395392,3.365705010313774,0.10183556689539003,3.9543213852213333,20.0,True,0.016720751071366644,1.298768857291486,7.535472516039537,PG46978,children,Dig Here!,"Allen, Gladys","{'Aunts -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Mystery fiction', 'Girls -- Juvenile fiction', 'New England -- Juvenile fiction'}",spgc_texts/PG46978.txt
PG52126,39292,46860,0.022040109946044998,0.19684165599658557,0.2508962868117798,0.2960307298335467,0.2683952198036705,3.2856379287277684,3.3126271683645148,0.13895958464827446,4.090120126234348,20.0,True,0.02158200142522651,1.321744884454851,7.806589636567242,PG52126,travel,A Dream of the North Sea,"Runciman, James","{'Physicians -- Fiction', 'Shipwrecks -- Fiction', 'Adventure and adventurers -- Fiction', 'Voyages and travels -- Fiction', 'Conduct of life -- Fiction', 'Royal National Mission to Deep Sea Fishermen -- Fiction', 'Fishers -- Great Britain -- Fiction', 'North Sea -- Fiction'}",spgc_texts/PG52126.txt
PG8910,34460,49703,0.01886244921648288,0.22978492243928939,0.31211395690400984,0.37239200853067217,0.29523368810735773,3.0933212586890453,3.1250967527511926,0.12919326755658736,4.803859547301219,20.0,True,0.051944283226929774,1.5999129425420777,11.08897272199652,PG8910,religion,"The System of Nature, or, the Laws of the Moral and Physical World. Volume 2","Holbach, Paul Henri Thiry, baron d'","{'Psychology', 'Materialism', 'Philosophy and religion'}",spgc_texts/PG8910.txt
